encoder,quality,img_id,bytes,wall_s,user_s,sys_s,max_rss_kb
jxl,70,img033,538126,1.270,1.810,0.530,1099312
jxl,90,img033,2389275,1.290,1.990,0.600,1160620
webp,60,img034,2138394,3.560,3.230,0.120,126080
webp,75,img034,2889004,3.340,3.310,0.080,126208
webp,90,img034,6070486,3.880,3.800,0.140,153032
avif,28,img034,53141,0.700,0.840,0.130,284420
avif,36,img034,147645,1.220,1.360,0.230,300972
avif,44,img034,707621,0.950,1.380,0.180,312156
jxl,30,img034,408763,0.850,1.250,0.360,855664
jxl,50,img034,759896,1.330,1.480,0.440,874800
jxl,70,img034,1630561,1.560,1.730,0.410,915296
jxl,90,img034,4410560,1.660,1.800,0.440,971524
webp,60,img035,333678,1.370,1.260,0.030,56064
webp,75,img035,406786,1.280,1.260,0.030,56320
webp,90,img035,877068,1.530,1.480,0.050,56320
avif,28,img035,107665,0.510,0.520,0.090,167260
avif,36,img035,196977,0.680,0.690,0.090,171188
avif,44,img035,312076,0.650,0.760,0.100,176348
jxl,30,img035,179261,0.550,0.600,0.210,431696
jxl,50,img035,242614,0.500,0.690,0.230,432896
jxl,70,img035,362058,0.430,0.610,0.210,435784
jxl,90,img035,796715,0.500,0.730,0.250,444496
webp,60,img036,139706,1.370,1.300,0.020,57216
webp,75,img036,177908,1.410,1.320,0.050,57344
webp,90,img036,480302,1.380,1.340,0.040,57344
avif,28,img036,34863,0.340,0.450,0.080,174496
avif,36,img036,56611,0.360,0.530,0.070,177952
avif,44,img036,96987,0.380,0.570,0.080,183204
jxl,30,img036,91980,0.380,0.570,0.210,450300
jxl,50,img036,119147,0.380,0.560,0.200,450676
jxl,70,img036,175138,0.400,0.580,0.180,451576
jxl,90,img036,519430,0.410,0.660,0.190,462332
webp,60,img037,143564,1.470,1.370,0.030,66304
webp,75,img037,183432,1.320,1.320,0.040,66432
webp,90,img037,695842,1.680,1.660,0.050,66304
avif,28,img037,25302,0.360,0.430,0.080,165440
avif,36,img037,37220,0.350,0.440,0.080,170428
avif,44,img037,54746,0.380,0.490,0.070,175036
jxl,30,img037,98433,0.520,0.750,0.250,504132
jxl,50,img037,130737,0.490,0.720,0.220,504680
jxl,70,img037,190015,0.490,0.750,0.200,505840
jxl,90,img037,747475,0.510,0.770,0.250,526448
webp,60,img038,216950,2.030,1.920,0.060,99968
webp,75,img038,270560,1.950,1.970,0.040,99968
webp,90,img038,655686,2.160,2.170,0.050,99968
avif,28,img038,43769,0.550,0.740,0.130,304168
avif,36,img038,61863,0.620,0.920,0.150,312612
avif,44,img038,91552,0.610,0.910,0.140,322848
jxl,30,img038,142914,0.690,1.100,0.330,824300
jxl,50,img038,181276,0.680,1.080,0.320,824940
jxl,70,img038,263020,0.690,1.110,0.340,826116
jxl,90,img038,671188,0.700,1.120,0.340,835396
webp,60,img039,210838,1.360,1.280,0.040,67584
webp,75,img039,261848,1.340,1.340,0.040,67712
webp,90,img039,665308,1.510,1.510,0.040,67584
avif,28,img039,44734,0.380,0.480,0.090,211076
avif,36,img039,66347,0.400,0.520,0.100,215172
avif,44,img039,98340,0.430,0.620,0.090,221444
jxl,30,img039,142422,0.470,0.740,0.210,522892
jxl,50,img039,189368,0.470,0.740,0.210,524192
jxl,70,img039,271609,0.470,0.710,0.240,525384
jxl,90,img039,714630,0.500,0.800,0.190,537604
webp,60,img040,1371020,1.510,1.350,0.040,51840
webp,75,img040,1692188,1.380,1.350,0.050,53420
webp,90,img040,2990340,1.540,1.510,0.050,81456
avif,28,img040,26790,0.260,0.330,0.060,120276
avif,36,img040,142638,0.350,0.510,0.050,132436
avif,44,img040,650049,0.410,0.570,0.070,135896
jxl,30,img040,159427,0.350,0.520,0.150,360124
jxl,50,img040,385263,0.360,0.540,0.170,375740
jxl,70,img040,903736,0.410,0.630,0.200,397496
jxl,90,img040,2156663,0.500,0.800,0.250,413756
webp,60,img041,325866,2.370,2.230,0.060,104448
webp,75,img041,446152,2.150,2.140,0.060,104448
webp,90,img041,1717702,2.620,2.610,0.060,104448
avif,28,img041,56935,0.550,0.670,0.140,268472
avif,36,img041,91106,0.560,0.740,0.130,274620
avif,44,img041,142735,0.590,0.830,0.110,284856
jxl,30,img041,190646,0.730,1.120,0.320,805484
jxl,50,img041,253171,0.730,1.090,0.340,807444
jxl,70,img041,397472,0.750,1.160,0.340,810992
jxl,90,img041,1545500,0.790,1.270,0.360,848372
webp,60,img042,2177362,2.320,2.150,0.060,86144
webp,75,img042,2616604,2.260,2.230,0.070,86144
webp,90,img042,4797012,2.520,2.490,0.060,123496
avif,28,img042,193631,0.500,0.740,0.110,206996
avif,36,img042,534159,0.580,0.980,0.110,215060
avif,44,img042,1113114,0.680,1.250,0.130,223124
jxl,30,img042,496227,0.570,0.870,0.290,597304
jxl,50,img042,909374,0.690,1.150,0.330,616680
jxl,70,img042,1658357,0.620,1.020,0.290,639916
jxl,90,img042,3508232,0.650,1.070,0.310,661732
webp,60,img043,203434,1.550,1.540,0.040,79872
webp,75,img043,253632,1.580,1.590,0.030,79872
webp,90,img043,781846,1.840,1.840,0.050,79872
avif,28,img043,43810,0.450,0.620,0.090,212728
avif,36,img043,59828,0.480,0.690,0.110,217720
avif,44,img043,82823,0.490,0.750,0.100,225788
jxl,30,img043,146385,0.570,0.860,0.290,624132
jxl,50,img043,179577,0.570,0.860,0.300,624644
jxl,70,img043,252680,0.570,0.830,0.310,625960
jxl,90,img043,779561,0.600,0.880,0.310,642476
webp,60,img044,253300,1.520,1.440,0.070,86656
webp,75,img044,295562,1.450,1.460,0.040,86784
webp,90,img044,533512,1.510,1.510,0.050,86656
avif,28,img044,101187,0.440,0.630,0.090,239344
avif,36,img044,159512,0.490,0.710,0.100,242932
avif,44,img044,231401,0.500,0.770,0.120,249844
jxl,30,img044,140299,0.540,0.870,0.330,742916
jxl,50,img044,181989,0.560,0.910,0.330,743812
jxl,70,img044,259002,0.560,0.880,0.390,745396
jxl,90,img044,483913,0.600,0.980,0.350,748820
webp,60,img045,170340,2.430,2.290,0.050,110336
webp,75,img045,222142,2.300,2.290,0.070,110592
webp,90,img045,1032514,2.580,2.600,0.040,110464
avif,28,img045,32809,0.570,0.700,0.140,297028
avif,36,img045,42294,0.590,0.770,0.140,303300
avif,44,img045,57233,0.610,0.790,0.130,314688
jxl,30,img045,133444,0.810,1.210,0.420,876200
jxl,50,img045,165248,0.820,1.210,0.430,876068
jxl,70,img045,234541,0.810,1.250,0.380,877492
jxl,90,img045,1028706,0.830,1.300,0.430,907684
webp,60,img046,724780,2.670,2.490,0.050,115968
webp,75,img046,1018140,2.570,2.580,0.050,116096
webp,90,img046,2874212,3.130,3.110,0.080,115968
avif,28,img046,46907,0.680,0.890,0.130,265180
avif,36,img046,96371,0.880,1.100,0.200,293468
avif,44,img046,248672,0.900,1.320,0.160,308184
jxl,30,img046,247942,0.890,1.260,0.390,857016
jxl,50,img046,425438,0.970,1.500,0.430,862444
jxl,70,img046,796620,0.960,1.390,0.400,877060
jxl,90,img046,2337434,1.030,1.570,0.420,915588
webp,60,img047,648028,3.010,2.780,0.110,132992
webp,75,img047,811254,2.910,2.900,0.070,132992
webp,90,img047,2054048,3.340,3.340,0.070,132992
avif,28,img047,150397,0.880,1.210,0.190,356040
avif,36,img047,218670,0.890,1.340,0.170,364484
avif,44,img047,310652,0.910,1.500,0.170,374340
jxl,30,img047,434058,0.930,1.320,0.390,1011308
jxl,50,img047,568368,0.990,1.400,0.390,1014440
jxl,70,img047,804492,0.980,1.390,0.400,1018740
jxl,90,img047,2121924,0.990,1.450,0.400,1052984
webp,60,img048,85260,1.120,1.060,0.030,56960
webp,75,img048,110030,1.080,1.070,0.030,56960
webp,90,img048,296028,1.140,1.150,0.020,56960
avif,28,img048,13986,0.260,0.300,0.070,164536
avif,36,img048,21207,0.250,0.300,0.070,168760
avif,44,img048,33027,0.270,0.350,0.070,174644
jxl,30,img048,50652,0.380,0.620,0.210,471692
jxl,50,img048,74582,0.360,0.550,0.200,472668
jxl,70,img048,131673,0.350,0.520,0.190,473960
jxl,90,img048,224283,0.360,0.600,0.190,474668
webp,60,img049,1849426,5.800,5.260,0.140,236160
webp,75,img049,2746886,5.580,5.550,0.160,236288
webp,90,img049,7593288,21.500,21.170,0.450,236032
avif,28,img049,80624,1.250,1.550,0.280,567472
avif,36,img049,129249,1.200,1.480,0.260,580272
avif,44,img049,372295,1.280,1.840,0.270,610868
jxl,30,img049,413645,1.540,2.260,0.670,1781080
jxl,50,img049,765969,1.630,2.380,0.670,1799496
jxl,70,img049,1757514,1.670,2.670,0.710,1849788
jxl,90,img049,5825301,1.790,2.960,0.770,1951636
webp,60,img050,3475404,5.620,5.270,0.140,211584
webp,75,img050,4628540,17.840,17.690,0.250,211584
webp,90,img050,9602362,19.510,19.080,0.530,262168
avif,28,img050,389271,1.200,1.550,0.260,534612
avif,36,img050,906577,1.400,1.760,0.360,544208
avif,44,img050,1674024,2.080,2.600,0.320,557904
jxl,30,img050,1169448,2.320,2.690,0.720,1552444
jxl,50,img050,1835968,2.340,2.680,0.780,1574684
jxl,70,img050,3036663,1.950,2.880,0.820,1613412
jxl,90,img050,7255362,2.090,3.130,0.900,1704716
webp,60,img051,1779182,3.810,3.240,0.090,130432
webp,75,img051,2396098,3.340,3.310,0.090,130432
webp,90,img051,5470506,3.910,3.860,0.120,142028
avif,28,img051,316064,1.270,2.970,0.170,329092
avif,36,img051,421689,1.360,3.330,0.180,334208
avif,44,img051,627928,1.510,3.960,0.190,347520
jxl,30,img051,851741,0.930,1.300,0.450,918964
jxl,50,img051,1141568,0.940,1.320,0.430,926484
jxl,70,img051,1839129,0.970,1.410,0.440,958160
jxl,90,img051,4549954,1.080,1.670,0.490,1014696
webp,60,img052,96878,0.480,0.430,0.010,25216
webp,75,img052,117282,0.450,0.450,0.000,25088
webp,90,img052,313416,0.520,0.510,0.020,25088
avif,28,img052,28366,0.150,0.230,0.040,72380
avif,36,img052,38297,0.170,0.260,0.030,73400
avif,44,img052,50933,0.170,0.280,0.040,75068
jxl,30,img052,78707,0.160,0.220,0.070,173068
jxl,50,img052,101520,0.160,0.230,0.080,173452
jxl,70,img052,135739,0.160,0.250,0.060,174480
jxl,90,img052,355268,0.170,0.260,0.070,180876
webp,60,img053,2997216,3.150,2.650,0.100,107008
webp,75,img053,3558700,2.770,2.720,0.090,107136
webp,90,img053,6259362,3.200,3.120,0.130,151340
avif,28,img053,873847,1.760,5.010,0.150,266724
avif,36,img053,1283548,2.090,5.730,0.160,269668
avif,44,img053,1841531,2.560,7.890,0.210,274148
jxl,30,img053,1451534,0.850,1.280,0.380,724072
jxl,50,img053,1950625,0.870,1.360,0.320,736860
jxl,70,img053,2749942,0.860,1.360,0.370,756096
jxl,90,img053,5117275,0.940,1.520,0.410,790536
webp,60,img054,519350,2.140,2.020,0.050,103808
webp,75,img054,649650,2.000,2.010,0.060,103680
webp,90,img054,1311698,2.190,2.170,0.080,103680
avif,28,img054,171135,0.800,1.380,0.160,315308
avif,36,img054,287999,0.870,1.730,0.150,319784
avif,44,img054,482084,0.960,2.090,0.140,328492
jxl,30,img054,345353,0.770,1.230,0.370,836352
jxl,50,img054,508656,0.750,1.200,0.370,842060
jxl,70,img054,681983,0.770,1.250,0.370,845004
jxl,90,img054,997055,0.770,1.240,0.370,846856
webp,60,img055,457130,1.980,1.840,0.070,85888
webp,75,img055,640326,1.980,1.930,0.080,85632
webp,90,img055,1635132,2.170,2.180,0.040,85760
avif,28,img055,44773,0.480,0.630,0.110,209880
avif,36,img055,63969,0.490,0.700,0.090,212656
avif,44,img055,132596,0.510,0.760,0.110,231516
